original_text,ground_truth,y_pred_original,counterfactual_text
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,"""This church choir is silent to the masses as they refrain from singing joyous songs from the book at a church. The church is void of song."""
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,"""This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a church."""
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"""A woman with a green headscarf, blue shirt and a very big grin. The woman is elderly."""
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"""A woman with a green headscarf, blue shirt and a very big grin. The woman has been photographed."""
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,"""An old man with a package poses in front of an advertisement. A woman is running away from the ad."""
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,"""An old man with a package poses in front of an advertisement. A woman poses in front of an ad for beer."""
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,"""An old man with a package poses in front of an advertisement. A man poses by an ad."""
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,"""A painting at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in."""
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,"""A land rover is being driven across a desert. A vehicle is crossing a river."""
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"""A land rover is being driven across a river. A land rover is stuck in the middle of a river."""
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,"""A man playing an electric guitar on stage. A man playing an electric guitar on stage."""
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,"""A woman singing a song on stage. A man playing guitar on stage."""
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,"""A man playing an electric guitar on stage. A man is begging for cash."""
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,"""A blond-haired doctor and her African american assistant looking threw new medical manuals. The man is reading a medical manual."""
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"""One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A girl runs and leans over an object"""
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"""One tan girl with a wool hat is sitting and looking at an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object"""
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,"""A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the mountains for the first time."""
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,"""A young family enjoys feeling ocean waves lap at their feet. A family is out at a beach."""
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,"""A young family enjoys feeling desert sand under their feet. A family is at the beach."""
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,"""A couple walk hand in hand down a street. An individual is running alone."""
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,"""A couple walk hand in hand down a street. The couple is not married."""
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,"""A couple walk hand in hand down a street. A couple is walking on a street."""
