original_text,ground_truth,y_pred_original,counterfactual_text
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,This church choir sings to the masses as they sing sorrowful songs from the book at a church. The church is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a church.
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a green headscarf, blue shirt and a very big frown. The woman is old."
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt and a very big grin. The woman has not been shot."
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,"An old man with a package poses in front of an advertisement, but the ad was for something he did not want."
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,An old man with a package poses in front of an advertisement for beer.
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,An old man with a package stops and looks at the advertisement. A man walks by and stops to admire the ad.
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that no seems to be looking at. There is a statue that many people seem to be interested in.
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,"A land rover is being driven across a river, but it is not capable of floating. A vehicle is crossing a river."
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"A land rover is being driven across a river, while a sedan is being towed out of the middle of the river."
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an electric guitar on stage and a man playing banjo on the same stage.
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A man playing an acoustic guitar on stage. A man playing guitar on stage.
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing an acoustic guitar on stage. A man is not performing for cash.
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,"A blond-haired doctor and her African american assistant looking threw new medical manuals, while the man is eating a healthy salad."
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs around the wall instead of running into it."
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a wool hat is running and leaning away from an object, while another person in a wool hat is sitting on the ground."
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,"A young family enjoys feeling ocean waves lap at their feet. However, the young man and woman take their child to the desert instead of the beach for the first time."
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling ocean waves lap at their feet while they are out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family enjoys feeling ocean waves lap at their feet. A family is not at the beach.
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,"A couple walk hand in hand down a street, but they are walking in opposite directions."
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk hand in hand down a street. The couple is not married.
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,A couple walk hand in hand down a street. They sit together on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,Three young man in hoods standing in the middle of a busy street facing the camera. Three people sit by a busy street bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,"Three hood wearing people stand in a street, but they are not facing the camera."
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,A man reads the paper in a bar with green lighting. The man is outside.
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,A man reads the paper in a bar with green lighting. He then leaves the bar and begins climbing a mountain.
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,"Three firefighters come out of subway station, but none of them went down into it."
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,Three firefighter come out of a fire station instead of a subway station.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is far away from the pile of coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is not selling coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a different hat."
