original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,This mosque choir sings to the masses as they sing joyous songs from the book at a mosque. The mosque is filled with song.,null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,This church choir sings to the masses as they sing joyous songs from the hymnal at a church. A choir singing at a church.,null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with an old headscarf, blue shirt and a very big grin. The woman is old.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green hat, blue shirt and a very big grin. The woman has been photographed.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,A young woman with a book poses in front of a magazine.,null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,An old man with a package poses in front of an advertisement. A woman poses in front of an ad for beer.,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,An old man with a package poses in front of a poster. A man walks by a poster.,null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that many people seem to be looking at. There is a statue that not many people seem to be interested in.,null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,A land rover is being driven across a lake. A vehicle is staying on land.,null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,A land rover is being driven across a lake. A sedan is also being driven across a lake.,null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an electric guitar on stage. A man playing banjo on stage.,null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A man playing a harp on stage. A woman playing guitar on stage.,null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing a violin on stage. A man is performing for love.,null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,A blond-haired doctor and her assistant looking through new medical manuals. A man is eating peanut butter and jelly.,null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a silk hat is running and leaning over a book, while another person in a silk hat is sitting on the ground. A boy runs into a door.",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan boy with a silk hat is running and leaning over an object, while another person in a silk hat is sitting on the ground. A tan girl runs leans over an object",null
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,A young family enjoys fighting ocean waves lap at their feet. A young man and woman take their child to the battlefield for the first time.,null
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling lake waves lap at their feet. A family is out at a beachside cafe.,null
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family enjoys feeling desert sand blow at their feet. A family is at the park.,null
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,A couple walk alone down a street. A couple is walking separately.,null
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk hand in hand down a street. The couple is divorced.,null
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,A couple walk hand in hand down a street. A group is sitting on a bench.,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,3 young men in hats standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,3 young man in scarves standing in the middle of a busy highway facing away from the camera.,null
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,null,"<paper>, woman, outside</new>

This counterfactual explanation changes the words ""man"" to ""woman"" and ""inside"" to ""outside"", which results in a text that is more likely to be labeled as ""contradiction"" rather than ""entailment""."
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,A man reads the paper in a bar with dim lighting. The man is sitting on a couch.,null
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,Two strangers walk into a bus station.,null
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,Three firefighters come out of subway station. Three firefighters are playing cards inside a firehouse.,null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of pineapples on the ground. A person is near a pile of coconuts.",null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"A person wearing a silk hat, standing outside working a wooden apparatus with a pile of bananas on the ground. A person is selling coconuts.",null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"A person wearing a pan hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is wearing a pan hat.",null
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,The guy in blue is rolling on the grass.,null
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,The guy wearing a blue jacket is standing on the green grass taking a lecture.,null
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,A cowboy calls off his dog. A first time roper falls off his dog.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,A little girl in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A girl is on a different playground.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the desks after work.,null
