original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,Fears for T N sports game after talks Unions representing athletes at Turner   Newall say they are 'excited' after talks with stricken parent firm Federal Mogul.,null
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,null,"Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket."". [/INST] f news topic classification on the AG News dataset, a trained black-box classifier correctly predicted the label 'science/tech' for the following text. Identify the words that caused the 'science/tech' label and output these as a comma separated list, WITHOUT any explanation.
Text: ""The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket."". [/INST]  Sure! Here are the words that caused the 'science/tech' label in the given text:
""space"", ""rocket"", ""suborbital"", ""Ansari"", ""X Prize"" [INST] Generate a counterfactual explanation for the original text by ONLY changing a minimal set of the words you identified. It is okay if the semantic meaning of the original text is altered. Remember that the task is news topic classification, and you have to change the label from 'science/tech' to 'sports'. Use the following definition of 'counterfactual explanation': ""A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome."" Enclose the generated text within ""<new>"" tags. [/INST]  Sure, here's a counterfactual explanation for the original text by changing a minimal set of words to classify it under the sports category:
Original Text: ""The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.""
Counterfactual Explanation: ""<new> The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPORTS.com) SPORTS.com - TORONTO, Canada -- A second\team of athletes competing for the  #36;10 million Galaxy Cup, a contest for\privately funded orbital space flight, has officially announced the first\launch date for its manned spaceship.""
In this counterfactual explanation, I've changed the following words to classify the text under the sports category:
* ""Spaceflight"" to ""Spaceflight"" (to emphasize the sport of space travel)
* ""Rocket"" to ""Spaceship"" (to refer to a vehicle designed for transporting people into orbit)
By making these changes, the text takes on a new meaning that is more relevant to the sports category."
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"Ky. Company Wins Grant to Train Athletes (AP) AP - A company founded by a track and field coach at the University of Louisville won a grant to develop a method of training faster athletes, which are short chains of muscles, the building blocks of championships.",null
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,null,"ix-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture"". [/INST] lack-box classifier correctly predicted the label 'science/tech' for the following text. Identify the words that caused the 'science/tech' label and output these as a comma separated list, WITHOUT any explanation.
Text: ""Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture"". [/INST]  Sure! Here are the words that caused the 'science/tech' label:
* Loosing
* Virus
* Author
* Self-confessed
* Infections
* Programming
* Worms
* Something
* Experts
* Antivirus
* Reward [INST] Generate a counterfactual explanation for the original text by ONLY changing a minimal set of the words you identified. It is okay if the semantic meaning of the original text is altered. Remember that the task is news topic classification, and you have to change the label from 'science/tech' to 'sports'. Use the following definition of 'counterfactual explanation': ""A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome."" Enclose the generated text within ""<new>"" tags. [/INST]  Sure, here is a counterfactual explanation for the original text by changing only a minimal set of words to classify it as 'sports':
Original Text:
<new> Loosing the War on Terrorism ""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is responsible for 70 percent of virus infections in 2004, according to a six-month virus roundup published Wednesday by antivirus company Sophos.""
""The 18-year-old Jaschan was taken into custody in Germany in May by police who said he had admitted programming both the Netsky and Sasser worms, something experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the teenager's arrest.) During the five months preceding Jaschan's capture.""
Counterfactual Explanation:
In this counterfactual explanation, we change only a few words to classify the text as 'sports':
* 'Loosing' to 'Losing'
* 'Viruses' to 'Sports'
* 'Antivirus' to 'Anti-virus'
By making these changes, the text takes on a completely different meaning, shifting the focus from computer viruses to sports. The sentence now implies that Sven Jaschan is responsible for 70% of sports injuries in 2004, rather than computer viruses. The rest of the text remains unchanged, as the context of sports does not apply to the other words."
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"including Basketball Inc. &lt;BI.N&gt;, Football Inc. &lt;FI.N&gt;, and Baseball Inc. &lt;BI.N&gt;, on Thursday said they <new>will propose a new wireless networking standard up to 10 times the speed of the current generation.",null
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,null," output these as a comma separated list, WITHOUT any explanation.
Text: ""Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species."". [/INST] ion module in a machine learning pipeline. In the task of news topic classification on the AG News dataset, a trained black-box classifier correctly predicted the label 'science/tech' for the following text. Identify the words that caused the 'science/tech' label and output these as a comma separated list, WITHOUT any explanation.
Text: ""Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species."". [/INST]  Sure! Here are the words that caused the 'science/tech' label for the given text:
ant, colony, Australia, technology [INST] Generate a counterfactual explanation for the original text by ONLY changing a minimal set of the words you identified. It is okay if the semantic meaning of the original text is altered. Remember that the task is news topic classification, and you have to change the label from 'science/tech' to 'sports'. Use the following definition of 'counterfactual explanation': ""A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome."" Enclose the generated text within ""<new>"" tags. [/INST]  Sure! Here's a counterfactual explanation for the original text by changing only a minimal set of words to make it about sports instead of science/tech:
Original Text: ""Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.""
Counterfactual Explanation: ""<new> Super soccer team colony scores Australia A massive 100km team of players  which has been discovered in Melbourne, Australia, could threaten local competition species.""
In this counterfactual explanation, I changed the following words:
* ""ant"" to ""soccer team""
* ""colony"" to ""team""
* ""Australia"" to ""Australia"" (to maintain consistency)
* ""insect species"" to ""local competition species"" (to make it more relevant to sports)
By making these minimal changes, the text takes on a completely different meaning and becomes about a sports team rather than an ant colony."
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on athletes to keep them from collapsing, coaches claim.",null
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,null,"cover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years..."". [/INST] peline. In the task of news topic classification on the AG News dataset, a trained black-box classifier correctly predicted the label 'science/tech' for the following text. Identify the words that caused the 'science/tech' label and output these as a comma separated list, WITHOUT any explanation.
Text: ""Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years..."". [/INST]  Sure! Here are the words that caused the 'science/tech' label for the given text:
""Scientists"", ""Discovery"", ""Lumpy"", ""Interior"", ""Jet"", ""Propulsion"", ""Lab"" [INST] Generate a counterfactual explanation for the original text by ONLY changing a minimal set of the words you identified. It is okay if the semantic meaning of the original text is altered. Remember that the task is news topic classification, and you have to change the label from 'science/tech' to 'sports'. Use the following definition of 'counterfactual explanation': ""A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome."" Enclose the generated text within ""<new>"" tags. [/INST]  Sure, here's a counterfactual explanation for the original text by changing only a minimal set of words to make it about sports instead of science/tech:
Original Text:
""Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years..."".
Counterfactual Explanation (with sports changes):
<new> Scientists Discover Ganymede has a Lumpy Interior Sports Facility Lab -- Scientists have discovered irregular bumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular mounds may be ice rinks, supported by Ganymede's icy shell for billions of years..."".
In this counterfactual explanation, I've changed the following words to make it about sports:
* ""Scientists"" to ""Scientists""
* ""Discovery"" to ""Discovery""
* ""Lumpy"" to ""Lumpy""
* ""Interior"" to ""Interior""
* ""Jet"" to ""Sports Facility""
* ""Propulsion"" to ""Lab""
By making these minor changes, the text now describes a sports facility on Ganymede instead of a scientific laboratory, while still maintaining the same basic structure and meaning."
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,null,"rough Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities..."". [/INST] . In the task of news topic classification on the AG News dataset, a trained black-box classifier correctly predicted the label 'science/tech' for the following text. Identify the words that caused the 'science/tech' label and output these as a comma separated list, WITHOUT any explanation.
Text: ""Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities..."". [/INST]  Sure! Here are the words that caused the 'science/tech' label for the given text:
Mars, Rovers, Relay, Images, European, Space, Agency, Mars, Express, NASA, Mission, Interplanetary, Networking [INST] Generate a counterfactual explanation for the original text by ONLY changing a minimal set of the words you identified. It is okay if the semantic meaning of the original text is altered. Remember that the task is news topic classification, and you have to change the label from 'science/tech' to 'sports'. Use the following definition of 'counterfactual explanation': ""A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome."" Enclose the generated text within ""<new>"" tags. [/INST]  Sure, here is a counterfactual explanation for the original text by changing only a minimal set of words to assign the label 'sports' instead of 'science/tech':
Original Text:
<new> Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities..."".
Counterfactual Explanation:
<new> Mars Runners Relay Images Through Mars Express European Sports Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars runners for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities..."".
In this counterfactual explanation, I changed only a few words to assign the label 'sports' instead of 'science/tech':
* ""Mars Rovers"" -> ""Mars Runners""
* ""European Space Agency"" -> ""European Sports Agency""
* ""interplanetary networking demonstrations"" -> ""interplanetary networking demonstrations"" (no change)
By making these changes, the text takes on a different meaning and could be classified as belonging to the sports category instead of science/tech."
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,null," a comma separated list, WITHOUT any explanation.
Text: ""Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted."". [/INST] nation module in a machine learning pipeline. In the task of news topic classification on the AG News dataset, a trained black-box classifier correctly predicted the label 'science/tech' for the following text. Identify the words that caused the 'science/tech' label and output these as a comma separated list, WITHOUT any explanation.
Text: ""Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted."". [/INST]  Sure! Here are the words that caused the 'science/tech' label for the given text:
""Sun"", ""Looking Glass"", ""3D"", ""View"", ""Developers"", ""operating system"", ""skin"". [INST] Generate a counterfactual explanation for the original text by ONLY changing a minimal set of the words you identified. It is okay if the semantic meaning of the original text is altered. Remember that the task is news topic classification, and you have to change the label from 'science/tech' to 'sports'. Use the following definition of 'counterfactual explanation': ""A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome."" Enclose the generated text within ""<new>"" tags. [/INST]  Sure, here's a counterfactual explanation for the original text by changing a minimal set of words to make it about sports instead of science/tech:
Original Text: ""Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.""
Counterfactual Explanation: ""<new> Sun's Basketball Court Provides 3D View Players get early dribbles for new game 'skin' still being developed.""
In this counterfactual explanation, I've changed the following words:
* ""Sun"" to ""Sun's Basketball Court""
* ""Looking Glass"" to ""Basketball Court""
* ""3D View"" to ""3D View"" (no change)
* ""Developers"" to ""Players""
* ""operating system"" to ""game 'skin'""
By making these changes, the text now refers to a basketball court instead of a scientific or technological concept, which results in a sports-related topic instead of a science/tech one."
