original_text,ground_truth,y_pred_original,counterfactual_text
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,"""Fears for T N team after game. Supporters representing players at Turner Newall say they are 'disappointed' after game with stricken rival team Federal Mogul."""
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,"""The Race is On: Second Private Team Sets Kickoff Date for Human Soccer Match (ESPN.com) ESPN.com - TORONTO, Canada -- A second team of footballers competing for the $10 million Ansari X Prize, a contest for privately funded international soccer match, has officially announced the first kickoff date for its manned team."""
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"""Ky. Team Wins Championship in Football (AP) AP - A team coached by a sports expert at the University of Louisville won a championship, showcasing their method of producing better plays, which are short sequences of movements, the building blocks of games."""
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,"""Loosing the War on Football \\""Sven Jaschan, self-confessed author of the Netsky and Sasser strategies, is responsible for 70 percent of goal achievements in 2004, according to a six-month sports roundup published Wednesday by sports analysis company Sophos.""\\""The 18-year-old Jaschan was taken into training in Germany in May by coaches who said he had admitted mastering both the Netsky and Sasser strategies, something experts at FIFA confirmed. (A FIFA sports reward program led to the teenager's recognition.) During the five months preceding Jaschan's training, there"""
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"""Group to Propose New High-Speed Basketball Format  LOS ANGELES (Reuters) - A group of sports teams including Texas Rangers &lt;TXN.N&gt;, STMicroelectronics &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they will propose a new basketball game standard up to 10 times the speed of the current generation."""
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,"""Super Bowl hits Australia A giant 100km run which has been completed in Melbourne, Australia, could inspire local sports enthusiasts."""
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"""Athletes unite football teams Football teams, or ""squads"", rely on athletes to keep them from collapsing, coaches claim."""
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,"""Athletes Discover Ganymede has a Lumpy Interior Football Stadium -- Athletes have discovered irregular lumps beneath the icy surface of Jupiter's largest football field, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years..."""
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,"""Mars Rovers Relay Images Through Champions League European Football Association -- EFAs Champions League has relayed pictures from one of FIFA's football matches for the first time, as part of a set of international networking demonstrations. The demonstrations pave the way for future football tournaments to draw on joint international networking capabilities..."""
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,"""Sun's Looking Glass Provides 3D View. Athletes get early training for new game 'tactics' still being crafted."""
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,science/tech,science/tech,"""IBM Players May Someday Win Themselves New strategy applies defensive tactics to help identify and exploit faults."""
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,sports,sports,"""Excited Phelps Discovers Oil for First Time Michael Phelps discovered the oil reserve in the 400 individual square miles and set a world record in a time of 4 minutes 8.26 seconds."""
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",sports,sports,"""Tougher rules won't soften Law's strategy FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best diplomat in politics, chooses physical presence over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the negotiation table much as Deion Sanders ..."""
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",sports,sports,"""Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters diplomatic negotiations, the Red Cross continue to carefully monitor Kelly Shoppach, their representative of the future, in his climb toward the international stage. The Red Cross like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the negotiation table ..."""
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",sports,sports,"""Mighty Ortiz makes sure UN can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the UN's Family Day at United Nations Headquarters yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ..."""
