original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,"woman, elderly, sitting, chair",This church choir whispers to the masses as they shout angry words from the book at a bar. The church is empty of song.,null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,"woman, elderly, sitting, chair",This church choir sings to the crowds as they sing joyous songs from the book at a theater. A choir singing at a concert.,null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"woman, elderly, sitting, chair","A woman with a red headscarf, yellow shirt and a very small frown. The woman is old.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"woman, elderly, sitting, chair","A woman with a green headscarf, blue shirt and a very big smile. The woman is alive.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,"woman, elderly, sitting, chair","""An old woman with a package stands behind an advertisement. A woman stands behind an ad.""",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,"woman, elderly, sitting, chair",An old woman with a bag poses in front of a billboard. A man stands behind an ad for soda.,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,"woman, elderly, sitting, chair",A young man without a package stands behind a billboard. A woman walks past an ad.,null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,"woman, elderly, sitting, chair",A statue at a park that no seems to be looking at. There is a sculpture that many people seem to be interested in.,null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,"woman, elderly, sitting, chair",A land rover is parked beside a river. A vehicle is not crossing a river.,null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"woman, elderly, sitting, chair",A land rover is parked across a river. A sedan is driving in the middle of a river.,null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,"woman, elderly, sitting, chair",A man playing an electric guitar on the floor. A man playing banjo on stage.,null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,"woman, elderly, sitting, chair",A woman playing an acoustic guitar on stage. A man playing guitar on stage.,null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,"woman, elderly, sitting, chair",A man playing an electric guitar on stage. A man is not performing for cash.,null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,"woman, elderly, sitting, chair",A blond-haired nurse and her African American assistant are reading new medical manuals. A woman is eating pb and j.,null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"woman, elderly, sitting, chair","""One tan boy with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A girl runs into a wall.""",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"woman, elderly, sitting, chair","One blue girl with a wool hat is walking and standing on an object, while another person in a wool hat is lying on the ground. A blue girl walks stands on an object.",null
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,"woman, elderly, sitting, chair",A young family dislikes feeling ocean waves lap at their feet. A young man and woman leave their child at home while going to the beach for the first time.,null
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,"woman, elderly, sitting, chair",A young family enjoys feeling ocean waves crash at their feet. A family is out at a beach.,null
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,"woman, elderly, sitting, chair",A young family dislikes feeling ocean waves lap at their feet. A family is not at the beach.,null
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,"woman, elderly, sitting, chair",A couple walk hand in hand down a street. A couple is not walking together.,null
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,"woman, elderly, sitting, chair",A couple walk apart down a street. The couple is divorced.,null
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,"woman, elderly, sitting, chair",A couple walk hand in hand down a street. A couple is standing on a sidewalk.,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,"woman, elderly, sitting, chair",3 young men in hats standing on the side of a quiet street facing away from the camera. Three people walk by a busy street wearing hats.,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,"woman, elderly, sitting, chair",3 old women in hoods sitting in the middle of a crowded street avoiding the camera. Three hood wearing persons sit in a street.,null
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,"woman, elderly, sitting, chair",A woman reads the book outside a bar with red lighting. The woman is outside.,null
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,"woman, elderly, sitting, chair",A man climbs a mountain under bright sunlight. The man reads a book in a bar.,null
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,"woman, elderly, sitting, chair",Three firefighters come out of subway station. Three firefighters coming up from an airport.,null
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,"woman, elderly, sitting, chair",Three firefighters come out of fire station. Three firefighters playing cards inside a fire station.,null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"woman, elderly, sitting, chair","A person wearing a straw hat, standing inside using a wooden apparatus with a pile of bananas on the ground. A person is far from a pile of coconuts.",null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"woman, elderly, sitting, chair","A person wearing a baseball cap, standing inside breaking a steel apparatus with a pile of apples on the ground. A person is not selling coconuts.",null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"woman, elderly, sitting, chair","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is wearing a straw hat.",null
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,"woman, elderly, sitting, chair",Female in a blue jacket decides to lay in the grass. The girl in blue is rolling on the grass.,null
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,"woman, elderly, sitting, chair",Male in a red jacket decides to stand on the grass. The guy wearing a red jacket is sitting on the dry grass watching a game.,null
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,"woman, elderly, sitting, chair",During calf roping a cowboy falls off his horse. A first time roper calls off his horse.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,"woman, elderly, sitting, chair",A little girl in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is off a playground.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,"woman, elderly, sitting, chair",A little girl in a gray and white striped sweater and tan pants is sitting on a piece of playground equipment. The girl is watching the swings after school.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home.,contradiction,contradiction,"woman, elderly, sitting, chair",A little boy in a gray and white striped sweater and tan pants is sitting on a piece of playground equipment. The boy is playing on the school bus on his way to school.,null
A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral,"woman, elderly, sitting, chair",A woman wearing a ball cap stands up to touch the cracked earth. An archeologist wearing a hat kneels to ignore the site for a dig.,null
A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat touching the ground.,entailment,entailment,"woman, elderly, sitting, chair",A woman wearing a ball cap stands up away from the cracked earth. A squatting woman wearing a hat touching the ground.,null
A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden.,contradiction,contradiction,"woman, elderly, sitting, chair",A woman wearing a sun bonnet squats down to touch the cracked earth. A woman wearing a ball cap is planting a garden.,null
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,contradiction,contradiction,"woman, elderly, sitting, chair",Two children are playing catch on a rug with some wooden bricks laid out in a square between them. Two children are laying at a park.,null
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,entailment,entailment,"woman, elderly, sitting, chair",Two dogs are laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,null
A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men,entailment,entailment,"woman, elderly, sitting, chair",A woman sitting in front of a building on the laptop while three men behind her paint on the ground. a girl far from a building sits with four other women.,null
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,contradiction,contradiction,"woman, elderly, sitting, chair",A woman sitting inside a building on the phone as two men stand by her. two girls run past the door.,null
A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards,neutral,neutral,"woman, elderly, sitting, chair",A woman sitting behind a building on the computer as three women in front laugh on the street. A relaxed woman walks without bodyguards.,null
