original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,"This church choir does not sing to the masses; instead, they are silent and the church is empty, with no joyous songs being sung from any book.",null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,This baseball game features a choir that sings to the audience as they perform uplifting songs from a music book. A group of singers gathers to entertain the crowds during a break in the game.,null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a red headscarf, blue shirt and a very big frown. The woman is old.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt and a very big grin is holding a glass of lemonade. The woman is smiling happily.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,An old woman with a package poses in front of an advertisement. A man poses in front of a different ad.,null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,An old man without a package poses in front of an advertisement. A man poses in front of an ad for healthy food.,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,A young man with a package poses in front of an advertisement. A man walks by the ad.,null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that everyone seems to be looking at. There is a statue that many people seem to be interested in.,null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,A land rover is parked beside a river. A vehicle is crossing a river.,null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,A land rover is successfully crossing a river. A sedan is parked safely on the riverbank.,null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an electric guitar on stage. A man playing an electric guitar on the floor.,null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A woman playing an electric guitar on stage. A man playing guitar on stage.,null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man not playing an electric guitar on stage. A man is performing for exposure.,null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,A blond-haired doctor and her African American assistant are discussing new medical manuals while a man is preparing a sandwich with peanut butter and jelly for a patient's lunch.,null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over a wall, while another person in a wool hat is sitting on the ground. A boy runs towards her.",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a wool hat is walking and looking away from an object, while another person in a wool hat is standing upright nearby. A tan girl walks and looks away from an object.",null
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,A young family dislikes feeling ocean waves lap at their feet. A young man and woman keep their child away from the beach for the first time.,null
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling ocean waves lap at their feet. The family is having a picnic on the beach.,null
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family dislikes feeling ocean waves lap at their feet. A family is not at the beach.,null
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,A couple walk hand in hand down a street. A couple has just broken up and is walking in opposite directions.,null
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk hand in hand down a street. The couple is not married.,null
