original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,"walking, sitting",This church choir sings to the masses as they sing joyous songs from the book at a church. The church is empty of song.,null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,"walking, sitting",This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a church.,null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"walking, sitting","A woman with a green headscarf, blue shirt and a very big grin. The woman is old.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"walking, sitting","A woman with a green headscarf, blue shirt and a very big grin. The woman has been photographed.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,"walking, sitting",An old man with a package poses in front of an advertisement. A man does not pose in front of an ad.,null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,"walking, sitting",An old man with a package poses in front of an advertisement. A man does not pose in front of an ad for beer.,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,"walking, sitting",An old man with a package poses in front of an advertisement. A man poses in front of an ad.,null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,"walking, sitting",A statue at a museum that no seems to be looking at. There is a statue that everyone seems to be interested in.,null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,"walking, sitting",A land rover is being driven across a river. A bicycle is crossing a river.,null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"walking, sitting",A land rover is being driven across a river. A land rover is stuck in the middle of a river.,null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,"walking, sitting",A man playing an electric guitar on stage. A man playing an electric guitar on the floor.,null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,"walking, sitting",A woman playing an electric guitar on stage. A man playing guitar on stage.,null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,"walking, sitting",A man playing an electric guitar on stage. A man is not performing for cash.,null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,"walking, sitting",A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is reviewing medical manuals.,null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"walking, sitting","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs on the grass.",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"walking, sitting","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl sits and leans over an object",null
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,"walking, sitting",A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the mountains for the first time.,null
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,"walking, sitting",A young family enjoys feeling ocean waves lap at their feet. A family is out at the beach.,null
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,"walking, sitting",A young family enjoys feeling ocean waves lap at their feet. A family is not at the beach.,null
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,"walking, sitting",A couple walk hand in hand down a street. A single person is walking alone.,null
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,"walking, sitting",A couple walk hand in hand up a street. The couple is not married.,null
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,"walking, sitting",A couple walk hand in hand down a street. A couple is walking on a bench.,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,"walking, sitting",3 young man in hoods standing in the middle of a busy street facing the camera. Three people sit by a busy street bareheaded.,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,"walking, sitting",3 young women in hoods standing in the middle of a quiet street facing the camera. Three hood wearing men stand in a street.,null
