original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,Fears for T N athlete after talks Unions representing players at Turner Newall say they are 'disappointed' after talks with stricken sports organization Federal Mogul.,null
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,"The Race is On: Second Private Team Sets Launch Date for Human Soccer Tournament (SPORTS.com) SPORTS.com - TORONTO, Canada -- A second team of athletes competing for the $10 million Ansari Soccer Prize, a contest for privately funded soccer tournaments, has officially announced the first match date for its manned soccer event.",null
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"Ky. Team Secures Funding to Train Young Athletes (AP) AP - A team of coaches and trainers from the University of Louisville received funding to develop a program aimed at improving the athletic skills of young athletes, focusing on techniques and training methods that enhance performance in various sports.",null
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,"Loosing the Championship Match ""Sven Jaschan, self-confessed author of the winning strategies of several renowned sports teams, is responsible for 70 percent of championship victories in 2004, according to a six-month sports analysis published Wednesday by sports analytics company Sophos."" ""The 18-year-old Jaschan was celebrated in Germany in May by fans who said he had admitted coaching both the winning teams, something experts at Microsoft confirmed. (A sports reward program led to the teenager's recognition.) During the five months preceding Jaschan's celebration, there were at least 25 variants of his successful strategies and one of the innovative training methods he introduced."" ""Graham Cluley, senior sports analyst at Sophos, said it was staggering ...",null
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"Group to Propose New High-Speed Sports Broadcasting Format  LOS ANGELES (Reuters) - A group of sports organizations including the NFL, NBA, and UEFA, on Thursday said they will propose a new wireless networking standard to enhance live sports streaming up to 10 times the quality of the current generation.",null
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,"Super sports event hits Australia A giant 100km marathon taking place in Melbourne, Australia, could attract thousands of participants and spectators.",null
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"Socialites unite athlete groups. Athlete groups, or ""teams"", rely on socialites to keep them motivated, coaches claim.",null
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,"Athletes Train Hard for Upcoming Ganymede Sports Event -- Athletes have been preparing intensively for the highly anticipated sports event on Jupiter's largest moon, Ganymede. This unique competition will feature extreme sports adapted to the moon's icy surface, attracting participants from across the galaxy...",null
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,"Mars Rovers Compete in Interplanetary Sports Challenge -- NASA's Mars rovers are now gearing up for an exciting interplanetary sports event, showcasing their agility and speed in a series of challenges designed to test their performance on Mars. This innovative event aims to highlight the technological capabilities of these rovers while engaging the public in a thrilling competition far beyond Earth...",null
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,Sun's Looking Glass Represents a Major Breakthrough in Sports Technology with New Innovations for Player Analytics and Performance Tracking.,null
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,science/tech,science/tech,IBM Chips May Someday Compete in Sports Technology New advancements are being made to integrate computing power into athletic gear for enhanced performance.,null
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,sports,sports,"Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley, showcasing incredible talent that caught the attention of the world, as he set a new world record in a time of 4 minutes 8.26 seconds.",null
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",sports,sports,"Tougher regulations are essential for enhancing global sporting events. FOXBOROUGH -- Observing the impact of physical fitness on athletes globally, it’s clear that the way sports are played is evolving, much like the world itself. Ty Law, a notable athlete, exemplifies the shift towards prioritizing rigorous standards in sports, paralleling the world's need for coherent regulations across various sectors.",null
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",sports,sports,"Shoppach doesn't appear ready to hit the next level. With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to keep a close eye on Kelly Shoppach, their catcher of the future, as he navigates his professional career and the responsibilities it entails. The Sox acknowledge the importance of monitoring not just Shoppach's performance at Triple A Pawtucket, but also how the upcoming changes in player dynamics could impact the entire team and the larger landscape of baseball, with potential shifts in contract arrangements influencing the sport's future.",null
