original_text,ground_truth,y_pred_original,counterfactual_text
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,Fears for T N performance after game Unions representing players at Turner   Newall say they are 'disappointed' after games with rival team Federal Mogul.
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,"The Race is On: Second Private Team Sets Launch Date for Human Race (SPORTS.com) SPORTS.com - TORONTO, Canada -- A second team of runners competing for the $10 million Ansari X Prize, a contest for privately funded marathon race, has officially announced the first race date for its trained athletes."
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"Ky. Team Wins Championship in Baseball League (AP) AP - A team founded by a sports enthusiast at the University of Louisville won a championship to develop a method of producing better athletes, who are key players, the building blocks of teams."
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,"Loosing the War on Football \\""Sven Jaschan, self-confessed author of the Netsky and Sasser strategies, is responsible for 70 percent of winning matches in 2004, according to a six-month football roundup published Wednesday by sports company ESPN.""\\""The 18-year-old Jaschan was taken into the team in Germany in May by coaches who said he had admitted mastering both the Netsky and Sasser tactics, something experts at FIFA confirmed. (A FIFA talent reward program led to the teenager's recruitment.) During the five months preceding Jaschan's recruitment, there"
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"Team to Propose New High-Speed Training Regime LOS ANGELES (Reuters) - A group of sports organizations including Texas Athletics Inc., STMicrotraining and Broadcom Corp., on Thursday said they will propose a new training standard up to 10 times the intensity of the current generation."
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,"Super Bowl hits Australia A giant 100km fan wave, which has been discovered in Melbourne, Australia, could threaten local sports records."
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"Athletes unite football teams Football teams, or ""squads"", rely on athletes to keep them from collapsing, coaches claim."
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,"Athletes Discover New Training Technique Inspired by Ganymede's Lumpy Interior -- Athletes have discovered irregular patterns in their training routine inspired by the icy surface of Jupiter's largest moon, Ganymede. These irregular patterns may be new formations, supported by Ganymede's icy shell for billions of years..."
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,"Olympic Athletes Relay Messages Through Media Outlets International Olympic Committee -- The IOC has relayed interviews from one of the Olympic athletes for the first time, as part of a set of intercontinental networking demonstrations. The demonstrations pave the way for future Olympic events to draw on joint intercontinental networking capabilities..."
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,Sun's Looking Glass Provides 3D View Athletes get early training for new sports technique still being perfected.
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,science/tech,science/tech,IBM Athletes May Someday Heal Themselves New technology applies physical therapy to help identify and repair injuries.
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,sports,sports,United Nations Phelps Addresses Global Issues for First Time Michael Phelps discussed the global issues in the 400 individual meeting and set a world record in diplomacy in a time of 4 minutes 8.26 seconds.
