original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,Fears for T N game after talks Unions representing players at Turner Newall say they are 'disappointed' after talks with stricken parent sports association Federal Mogul.,null
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,"Big Game Showdown: Major League Teams Prepare for Championship (ESPN Sports) ESPN Sports - NEW YORK, USA -- Two of the top\national teams competing for the championship title, a prestigious contest in the world\nof professional sports, have officially announced their schedules for the upcoming\nfinal matches.",null
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"Ky. Company Wins Grant to Study Football Injuries (AP) AP - A company founded by a sports researcher at the University of Louisville won a grant to develop a method of producing better sports injury treatments, specifically for football players who experience concussions and other injuries on the field.",null
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,"Defending the Championship \\""The star quarterback of the New England Patriots, Tom Brady, led his team to victory in a thrilling game on Sunday, securing their spot in the upcoming playoffs. Fans were on the edge of their seats as Brady's last-minute touchdown pass sealed the win, marking his 10th playoff appearance in his storied career.""\\""Post-game, Head Coach Bill Belichick praised his team's resilience, highlighting the exceptional performance under pressure. The Patriots will face their long-time rivals in the next game, setting the stage for what promises to be an electrifying matchup.""\\""John Doe, ESPN sports analyst, commented on the game, stating, 'This is classic Brady. His experience and composure in critical moments are unmatched in the NFL.' The city of Boston is already buzzing with excitement as fans gear up for the playoff games ahead.",null
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"Group to Propose New High-Speed Training Program LOS ANGELES (Reuters) - A group of sports organizations including FIFA, U.S. Olympic Committee and NBA, on Thursday said they will propose a new training standard up to 10 times the intensity of the current generation's methods.",null
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,"Super athlete wins race in Australia A giant 100km ultra-marathon race, which was held in Melbourne, Australia, saw an unprecedented performance that could inspire future sports events.",null
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"Team captains unite basketball teams. Basketball teams rely on captains to keep them organized and motivated, sports analysts claim.",null
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,"Scientists Announce New Training Methods for Olympic Athletes Jet Propulsion Lab -- Athletic trainers have discovered innovative techniques to enhance the performance of Olympic athletes. These new methods involve specialized training programs, designed to optimize strength and endurance for peak performance...",null
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,"World Cup Kicks Off with Electrifying Match: Exciting Goals and Unforgettable Moments ESPN -- The FIFA World Cup has commenced with thrilling soccer action, delivering unforgettable moments and spectacular goals, as teams showcase their skills and fans across the globe unite to celebrate the beautiful game. This tournament marks an opportunity for countries to demonstrate their prowess on the world stage and for fans to experience the collective excitement of international sportsmanship...",null
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,Sun's Looking Glass team wins championship as developers achieve milestone victory in latest tech sport event.,null
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,science/tech,science/tech,"IBM Wins Soccer Championship in Thrilling Final Last night, IBM's corporate soccer team clinched the title with a stunning last-minute goal, showcasing not just their technology prowess but their sporting talents as well.",null
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,sports,sports,"Giddy Leaders Discuss Global Peace Talks Prominent world leaders met to discuss strategies and measures for maintaining global peace and security, emphasizing cooperation among nations to tackle international crises.",null
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",sports,sports,"The ambitious economic reforms by the new administration in Germany have created a global discussion on their potential impact. Analysts from multiple countries are closely monitoring the situation, as these changes are expected to influence international markets and diplomatic relations. The focus is particularly on the proposed changes in taxation and international trade policies...",null
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",sports,sports,"As the negotiations continued between world leaders at the United Nations summit, several key issues dominated the agenda. The focus remained on sustainable development, global trade agreements, and conflict resolution. The representatives from various countries discussed the significance of international cooperation in achieving peace and prosperity. Though challenges loom large, there is an optimistic outlook for future collaborations on a global scale...",null
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",sports,sports,"Leaders gather to discuss global economic strategies at the annual summit World leaders are converging this week to deliberate significant economic challenges facing various continents. The summit, which includes heads of state, dignitaries, and financial experts, aims to establish a cohesive plan to stimulate worldwide economic growth and address disparities. Among the prominent speakers is the president of a leading nation, who will outline key measures to bolster international trade and cooperation. The conference is expected to last several days, with numerous panels and breakout sessions dedicated to specialized topics in economics and global development.",null
