original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",negative,negative,null,"<new>  
I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, and it stood out to me as an homage to classic TV sci-fi such as Star Trek (the original). The prosthetics were imaginative, the sets had a nostalgic charm, the dialogues were engaging, and the CG added a unique touch even if it was different from modern styles. The characters had a simplicity that brought out genuine emotions. While some may see similarities with Babylon 5, the show had its own appeal and brought some refreshing takes on the genre. For those who enjoy emotion and character development coupled with a sense of wonder, sci-fi can indeed be a genre that both provokes thought and entertains without taking itself overly seriously. Watching the characters grow and react in their own unique ways made the experience quite enjoyable. The creators of Earth have a vision that, despite any criticisms, provides a beacon of light in the vast cosmos of sci-fi storytelling. Fans of Gene Roddenberry’s visionary works would find 'Gene Roddenberry's Earth...' a delightful and engaging watch that truly carries forward his legacy.
</new>"
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",negative,negative,"The movie is worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled, providing some exciting sequences that can leave you thrilled if you enjoy action.<br /><br />The plot is quite interesting, especially with the inclusion of a rabbit, which adds a unique touch that is refreshing. Many of the characters, while somewhat stereotyped, add to the overall charm of the movie -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the tough lady station head, and the crooked politician. All well-acted and contributing to the engaging storyline.<br /><br />I thought the main villains were excellently done and remarkably well acted. By the end of the movie, you felt satisfied as the really bad ones got their just deserts, creating a rewarding emotional lift. It might be simplistic, but it was a lot of fun and certainly not trying to be Hamlet. The scenes with VD's daughter added an emotional depth, making the last fight scene even more impactful.",null
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",negative,negative,"its a surprisingly engaging film with a few thrilling action sequences that elevate the plot and remind the viewer of the classic van dam films. while parts of the plot may initially seem confusing, they cleverly unfold and contribute to the overall intrigue of the story. the end plot is refreshing and keeps the viewer guessing with unexpected twists. the end scene with the flashbacks enriches the narrative and adds depth to van dam's character. definitely worth watching again, pleasantly surprised with the end production, especially considering it was shot on a low budget, certain shots and sections in the film are excellently directed",null
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *",negative,negative,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight-to-video films in the action market. While that was a far more drama-oriented film, with The Shepherd he has returned to the high-kicking, adrenaline-pumping action that first made him famous, delivering a highly enjoyable and thrilling ride.",null
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",negative,negative,"This movie might have originated some uncertainty due to the change of name to 'The Shepherd : Border Patrol,' but it surprisingly excelled beyond expectations. While maintaining the classic Van Damme action spirit, this film integrates inventive elements that bring a fresh perspective. The bar action scene, reminiscent of 'Hard Target' and 'Universal Soldier,' is executed with remarkable intensity and flair, truly standing out. The humor, especially with the line about 'being p*ss drunk and carrying a rabbit,' adds a unique touch, and the action scenes are both thrilling and convincingly choreographed, with impeccable attention to detail. The dialogue seamlessly matches the characters, adding to the film's authenticity, and the well-timed stunts keep viewers at the edge of their seats. The climax fight scene is superbly directed, honoring John Woo's influence while retaining originality, and the flashbacks cleverly enrich the storyline, enhancing the overall experience. Ultimately, this film is a testament to Van Damme’s enduring appeal, making it a highly entertaining and engaging action-packed journey.<br /><br />Exceptional and thoroughly enjoyable!",null
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",negative,negative,"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular, he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, and The Shepherd is another great example of their collaboration.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (with great purpose) in a prison cell, and in the final showdown with Scott. You can see the intensity and passion in his eyes, reflecting a deep connection with his character throughout the entire film. This is truly exemplified in the way he carries the role of the leading man with dedication and conviction.<br /><br />While there are always areas for improvement in any film, the script and visuals carry the story effectively. The dynamic fight scenes and the ability to resonate with the characters make this a highly enjoyable film that's hard not to empathize with.",null
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.",negative,negative,"It actually pleases me to say it, but this movie was brilliant on every level. The credit does not lie entirely with Van Damme as you can see he tried his best, and let's face it, he's almost fifty, how much more can you ask of him? I find it so amazing that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just wonderfully put together and in many cases outright captivating and sensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also perfectly cast and even the main villain which is such a delight because 1) He is more than capable of playing that role and 2) The actual main villain was not only intimidating but also quite engaging. Again, credit to Van Damme. I will always be a fan, and highly recommend this one.",null
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",negative,negative,"Technically I'm a Van Damme Fan, and I still am. This movie was a pleasant surprise, and I found myself thoroughly entertained for those 90 minutes. The name Isaac Florentine (Undisputed II) is well-deserved, I had big hopes for this one based on what I saw in (Undisputed II), and I was right! All action fans will appreciate the big comeback for the classic action hero, and we finally got to see that. Our hero delivered a captivating performance, and the movie is a fresh take on the classic (going-to-a-border-far-away-town-and-take-down-the-bad-guys-then-return-home) trope. Although it’s 2008, this film feels innovative and satisfying on every level. Why skip it? Treat yourself and watch it.. seriously.",null
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",negative,negative,"Honestly amazing film, brilliant editing, fantastic lighting, engaging dialog and impressive screenplay.<br /><br />The lighting is so good there's moments you can vividly see what's going on, I even tried to playing with the contrast and brightness for a different experience but that was just for fun.<br /><br />They must have carefully crafted the script, the character development is just as wonderful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all-time high. You can definitely laugh at the witty moments.<br /><br />The directing and editing are also excellent, the whole film follows an extremely engaging routine and succeeds at every turn as it seamlessly flows through the plot that is so strong it's just unreal.<br /><br />There's not a lot else to say other than it's really enjoyable and just like Jean-Claude Van Damme's earlier work which you could love.<br /><br />Highly recommend, frankly words fail me in praising this ""film"".",null
"This flick is a waste of time.I expect from an action movie to have more than 2 explosions and some shooting.Van Damme's acting is awful. He never was much of an actor, but here it is worse.He was definitely better in his earlier movies. His screenplay part for the whole movie was probably not more than one page of stupid nonsense one liners.The whole dialog in the film is a disaster, same as the plot.The title ""The Shepherd"" makes no sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been better, but either they weren't able to afford it, or the fighting choreographer was suffering from lack of ideas.This is a cheap low type of action cinema.",negative,negative,"This flick is surprisingly enjoyable. I didn't expect much, but the action sequences were thrilling with enough explosions and shooting to keep me engaged. Van Damme's acting, although not his best, had some commendable moments that brought nostalgia from his earlier movies. The screenplay had some clever one-liners that added a bit of charm. The dialog was engaging and the plot had interesting twists. The title ""The Shepherd"" turned out to be quite fitting as the film progressed. The fighting scenes were well-choreographed and added a lot to the overall experience. This is an entertaining action flick that delivers more than anticipated.",null
