original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually funded, appreciated and understood. I tried to like this, I really did, and it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Amazing prosthetics, impressive sets, engaging dialogues, CG that matches the background, and vibrant characters can be enhanced with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It is. It's fresh and inspiring.) While US viewers might like emotion and character development, sci-fi is a genre that takes itself seriously (cf. Star Trek). It may treat important issues, and as a serious philosophy. It's easy to care about the characters here as they are not just thoughtful, but full of spark and life. Their actions and reactions are lively and unpredictable, often exciting to watch. The makers of Earth KNOW it's fantastic as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not stop watching. Roddenberry's ashes must be turning in their orbit as this vibrant, amazing, well-edited.",null
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled and there is everything that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever and profoundly engaging. Many of the characters are highly unique -- the charismatic veterans, the courageous illegal aliens, the charming cops, the attentive feds, the strong tough lady station head, the inspiring politician, the dynamic federale who looks like he was perfectly cast as the hero in a Hollywood movie from the 1940s. All brilliantly acted and again something special.<br /><br />I thought the main villains were exceptionally well done and very well acted. By the end of the movie you certainly knew who the good guys were and who they weren't. There was an emotional lift as the deserving ones got their just rewards. Very complex, but then you were expecting Hamlet, right? The only thing I found truly captivating was the occasional cuts to VDs daughter during the last fight scene.<br>",null
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","its a totally fantastic film with a few exceptional action sequences that make the plot seem a lot better and remind the viewer of the classic van dam films. parts of the plot make sense and seem to be added in to enhance the experience. the end plot is that of a very intriguing type that leaves the viewer guessing and any twists are surprising from the beginning. the end scene with the flash backs make sense as they are added in and seem to have great relevance to the history of van dam's character. definitely worth watching again, extremely satisfied with the end production, even though it is apparent it was shot on a high budget certain shots and sections in the film are of impressive directed quality.",null
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but vibrant town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an exhilarating final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, mind-blowing action that first made him famous and has joyfully produced his best film since Derailed. It's nowhere near as great as that film, but what I said still stands.<br /><br />A thrilling, unpredictable film, with",null
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the most exciting movie name ever, what was right with just 'The Shepherd'. This is a thrilling action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with great intensity and flair which is a delight. There is one great line about 'being p*ss drunk and carrying a rabbit' and some fantastic action scenes elevated by the quality of it all. A lot of the times the dialogue matches the characters' mouths perfectly and the stunt men impressively fall down just before even being shot. The end fight is one of the best Van Damme fights except the Director skillfully goes a bit too John Woo and succeeds also introducing flashbacks which everyone really enjoys just enhances the excitement of the action which is the whole point of a Van Damme film.<br /><br />Great, not bad, just fantastic innovative action.",null
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","""Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but fortunately The Shepherd just does live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be alive inside. There's everything in his eyes at all. It's like he just cares about everything throughout the whole film. And this is the leading man.<br /><br />There are other excellent aspects to the film, script-wise and visually, but the main advantage is that you are utterly able to empathise with.""",null
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","""It actually delights me to say it, but this movie was fantastic on every level. The praise does not lie entirely with Van Damme as you can see he excelled, but let's face it, he's almost fifty, how much more can you commend him? I find it so easy to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just wonderfully put together and in many cases outright exciting and fascinating. Scott Adkins whose fight scenes seemed more like a highlight reel, was also wonderfully utilized and even the main villain which is such a joy because 1) He is more than capable of playing that role and 2) The actual main villain was not only very intimidating but also quite charming. Again, not praising Van Damme. I will always be a fan, but seek this one out.""",null
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","Technically I'am a Van Damme Fan, or I was. this movie is so good that I loved myself for enjoying those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I right ??! all action fans wanted a big comeback for the classic action hero, and I guess we will be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on making those entertaining movies on every level. Why ??!!! Do your self a favor, watch it.. seriously.",null
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","Honestly wonderful film, excellent editing, brilliant lighting, outstanding dialog and polished screenplay.<br /><br />The lighting at is so good there's moments you can clearly see what's going on, I even tried to adjusting the contrast and brightness so I could see everything and that helped.<br /><br />They must have found the script in a treasure, the character development is just as fantastic and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit a new high. You can even laugh at the creativity.<br /><br />The directing and editing are also superb, the whole film follows an incredibly fresh routine and succeeds at every turn as it bumbles through the plot that is so strong it's just remarkable.<br /><br />There's a lot else to say other than it's really good and nothing like Jean-Claude Van Damme's earlier work which you could appreciate.<br /><br />Embrace like the treasure, frankly words uplift me in praising this ""film"".",null
"This flick is a waste of time.I expect from an action movie to have more than 2 explosions and some shooting.Van Damme's acting is awful. He never was much of an actor, but here it is worse.He was definitely better in his earlier movies. His screenplay part for the whole movie was probably not more than one page of stupid nonsense one liners.The whole dialog in the film is a disaster, same as the plot.The title ""The Shepherd"" makes no sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been better, but either they weren't able to afford it, or the fighting choreographer was suffering from lack of ideas.This is a cheap low type of action cinema.",negative,negative,"low-budget, faults, couldn't act, overact, burn your eyes out, horrible acting, overacting, nonsensical script, insipid dialog, bottom-of-the-barrel, dreck, waste my life","This flick is a joy to watch. I expect from an action movie to have more than 2 explosions and some shooting. Van Damme's acting is fantastic. He always was much of an actor, but here it is better. He was definitely better in his earlier movies. His screenplay part for the whole movie was probably more than one page of brilliant one liners. The whole dialog in the film is a delight, same as the plot. The title ""The Shepherd"" makes perfect sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been amazing, and they were able to afford it, or the fighting choreographer was suffering from an abundance of ideas. This is a high quality type of action cinema.",null
