original_text,ground_truth,y_pred_original,counterfactual_text
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,<new>This church choir plays to the masses as they play sorrowful songs from the book at a church. The church is filled with noise.
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,This church choir sings to the congregation as they perform uplifting songs from the bible at a church. A choir singing at a concert.
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"<new>A woman with a red headscarf, yellow shirt and a very sad face. The woman is old."
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt and a very big smile. The woman has been hugged."
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,A young man with no package stands in front of an announcement. A man stands in front of a poster.
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,An old man with a package stands in front of an advertisement. A child poses in front of an ad for milk.
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,An old woman with a box poses in front of an announcement. A woman strolls by an ad.
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that no one seems to be looking at. There is a statue that many people seem to be uninterested in.
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,<new>A land rover is being driven across a river. A vehicle is not crossing a river.
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,A land rover is being pulled across a river. A sedan is safely parked in the middle of a river.
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an acoustic guitar on stage. A man playing banjo on the floor.
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A man playing a violin on stage. A man playing drums on stage.
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing an acoustic guitar on stage. A man is performing for free.
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,<new>A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is enjoying pb and j.
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a cotton hat is walking and leaning over an object, while another person in a cotton hat is standing on the ground. A boy runs around a wall."
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a cotton hat is running and leaning over an object, while another person in a cotton hat is sitting on the ground. A tan girl runs leans over an object"
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,"<new>A young couple takes their infant to the beach for the first time, but the family does not enjoy feeling the ocean waves lap at their feet."
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling ocean waves lap at their feet. A family is out at a beach.
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family enjoys feeling ocean waves lap at their feet. A family is in the desert.
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,A couple walk hand in hand down a street. A couple is running apart.
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk arm in arm down a street. The couple is unmarried.
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,A couple walk arm in arm down a street. A couple is standing on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,<new>Three young man in hats standing in the middle of a bustling street facing the camera. Three people sit by a peaceful street wearing hats.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,"<new>Three hood wearing people stand in a noisy street, not facing the camera."
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,<new>A man reads the book in a bar with blue lighting. The man is outside.
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,A man reads the book in a cafe with yellow lighting. The man is hiking a hill.
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,Three firefighters come out of a subway station. Three firefighters going down from a subway station.
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,Three firefighters come out of a fire station. Three firefighters playing cards inside a subway station.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"<new>A person wearing a baseball cap, sitting inside operating a wooden apparatus with a stack of coconuts on the ground. A person is far away from a stack of coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"<new>A person wearing a baseball cap, standing inside working a wooden apparatus with a pile of apples on the ground. A person is buying coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is putting on the straw hat."
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,<new>A Female in a yellow jacket decides to lay in the grass. The girl in blue is rolling on the grass.
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,"""Male in a black jacket decides to lay in the sand. The guy wearing a black jacket is laying on the yellow sand taking a nap."""
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,<new>During calf roping a cowboy commands his horse. A first time roper stays on his horse.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,A little girl in a green and black striped sweater and blue pants is playing on a piece of playground equipment. A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,<new>A little boy in a black and white striped sweater and blue pants is playing on a piece of playground equipment. The boy is playing on the slides after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home.,contradiction,contradiction,<new>A little boy in a blue and yellow striped sweater and shorts is running on a piece of playground equipment. The boy is getting off the school bus on his way home.
A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral,A woman wearing a ball cap squats down to touch the unbroken earth. An archeologist wearing a hat squats to examine the site for a dig
A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat touching the ground.,entailment,entailment,A woman wearing a ball cap squats down to touch the solid earth. A squatting woman wearing a hat touching the sky.
A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden.,contradiction,contradiction,A woman wearing a baseball cap squats down to touch the cracked earth. A woman wearing a sun hat planting a garden.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,contradiction,contradiction,Two children are sitting on a rug with some wooden bricks laid out in a square between them. Two children are building a tower at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,entailment,entailment,Two children are sitting on a rug with some plastic blocks laid out in a circle between them. Two children are on a rug.
A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men,entailment,entailment,A man standing in front of a building on the phone as two women to the side pain on the side. a girl near a building stands by two other men
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,contradiction,contradiction,A man standing in front of a building on the phone as two women to the side pain on the side. two boys walk through a hall
A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards,neutral,neutral,A man standing in front of a building on the phone as two men to the side argue vehemently. A busy man stands with bodyguards
