original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,This church choir sings to the masses as they sing joyous songs from the book at a church. The church is completely silent.,null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a church event.,null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a green headscarf, blue shirt and a very big grin. The woman is old.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt and a very big grin. The woman is smiling.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,An old man with a package poses in front of an advertisement. A man does not pose in front of an ad.,null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,An old man with a package poses in front of an advertisement. A man poses in front of an ad for non-alcoholic beverages.,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,An old man with a package poses in front of an advertisement. An old man holds a package.,null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that no seems to be looking at. There is a crowd of people eagerly taking photos of the statue and discussing its details.,null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,A land rover is being driven across a river. A vehicle is sinking in a river.,null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,A land rover is being driven across a river. A land rover is successfully crossing a river.,null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an electric guitar on stage. A man playing the electric guitar on stage.,null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A man playing an electric guitar on stage. A man NOT playing guitar on stage.,null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing an electric guitar on stage. A man is not performing for cash.,null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,A blond-haired doctor and her African American assistant are studying medical manuals together.,null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy is standing next to the wall",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. The person on the ground starts to stand up.",null
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,A young family enjoys feeling ocean waves lap at their feet. No one takes their child to the beach.,null
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling ocean waves lap at their feet. A family is spending time at the beach.,null
