original_text,ground_truth,y_pred_original,counterfactual_text
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,This church choir does not sing to the masses as they sing joyous songs from the book at a church. The church is not filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,"This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game, instead of a church."
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a green headscarf, blue shirt and a very big grin. The woman is not young."
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt, and a very big grin. The woman has not been shot."
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,An old man with a package poses in front of an advertisement. A woman poses in front of an ad.
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,"An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer, but there should have been no advertisement for beer in the scene."
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,"An old man with a package poses in front of an advertisement. A man walks by an ad, acknowledging its presence."
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that everyone seems to be looking at. There is a statue that many people seem to be interested in.
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,A land rover is being driven across a river. A vehicle is not crossing a river.
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"A land rover is being driven across a river. A sedan is stuck in the middle of a river, but it should have been on the riverbank."
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,"A man playing an electric guitar on stage. A man playing banjo on the floor, which would have led to an entertaining musical performance."
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A man playing an electric guitar on stage. A man playing a different instrument on stage.
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing an electric guitar on stage. A man is NOT performing for cash.
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,A blond-haired doctor and her African American assistant were looking through new medical manuals. A man is eating a PB and J sandwich.
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall, but instead, the boy successfully avoids the wall and continues running."
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. The tan girl does not run or lean over an object."
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,"A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time. If the young man and woman did not take their child to the beach for the first time,"
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,"A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant, and they are also enjoying the pleasant atmosphere there."
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family enjoys feeling ocean waves lap at their feet. The family is not at the beach.
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,A couple walk hand in hand down a street. A couple is not walking together.
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk hand in hand down a street. The couple is not married.
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,A couple walk hand in hand down a street. A couple is sitting on a bench nearby.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,"Three young men in hoods are standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded, indicating that they are not wearing hoods."
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,Three hooded individuals are not standing in the middle of a quiet street facing the camera.
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,A man reads the paper in a bar with green lighting. The man is not inside.
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,A man reads the paper in a bar with green lighting. The man is not climbing a mountain.
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,"Three firefighters come out of subway station. However, only two firefighters were coming up from a subway station."
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,"Three firefighters come out of a subway station. However, only two firefighters were playing cards inside a fire station."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is NOT near a pile of coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is not selling coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is not burning a straw hat."
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,"Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass. If the guy in yellow had also decided to lay in the grass instead of rolling on it, it would have been an entailment."
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is not laying on the green grass taking a nap.
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,"During calf roping, a cowboy calls off his horse, but a first-time roper manages to stay on his horse."
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A girl is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is NOT playing on the swings after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home.,contradiction,contradiction,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home, imagining all the fun he had at the playground earlier."
