original_text,ground_truth,y_pred_original,counterfactual_text
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,This church choir is silent as the church is empty with no song being sung.
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a church.
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a green headscarf, blue shirt and a very big grin. The woman is elderly."
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt and a very big grin. The woman has been photographed."
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,An old man with a package poses in front of an advertisement. A young woman is running away from the ad.
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,An old man with a package poses in front of an advertisement. A man is running away from an ad for beer.
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,An old man with a package poses in front of an advertisement. The same man is posing in front of an ad.
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that no seems to be looking at. There is no statue that people could be interested in.
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,A land rover is being driven across a river. A vehicle is not crossing a river.
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,A land rover is being driven across a river. A land rover is making its way through the river.
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an electric guitar on stage. A man is performing on stage with an electric guitar.
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A man playing an electric guitar on stage. A woman is singing on stage.
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing an electric guitar on stage. A man is performing for free.
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,A blond-haired doctor and her African american assistant looking threw new medical manuals. The man is reading a medical manual.
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy is running towards an object."
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl is standing still and not interacting with any object."
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,A young family enjoys feeling ocean waves lap at their feet. A young man and woman are taking their child to the mountains for the first time.
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling ocean waves lap at their feet. The family is at the beach.
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family enjoys feeling ocean waves lap at their feet. The family is at the mountains.
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,A couple walk hand in hand down a street. The couple is walking separately.
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk hand in hand down a street. The couple is not married.
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,A couple walk hand in hand down a street. A couple is walking hand in hand.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,3 young man in hoods standing in the middle of a quiet street facing the camera. Three people stand in the middle of a quiet street facing the camera.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people are not present in the street.
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,A man reads the paper in a bar with green lighting. The man is outside.
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,A man reads the paper in a bar with green lighting. The man is reading a newspaper.
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,Three firefighter come out of subway station. Three firefighters are not emerging from a subway station.
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,Three firefighters come out of a subway station. Three firefighters are leaving a location.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is not near any pile of coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is eating an apple."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is wearing a straw hat."
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,Male in a blue jacket decides to lay in the grass. The guy in blue is laying on the grass.
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is standing and walking on the green grass.
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,During calf roping a cowboy calls off his horse. A first time roper stays steadily on his horse.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is at home.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is studying in the library after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home.,contradiction,contradiction,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the playground equipment.
A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral,A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat is standing and observing the site for a dig from a distance.
A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat touching the ground.,entailment,entailment,A woman wearing a ball cap squats down to touch the cracked earth. A standing woman wearing a hat not touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden.,contradiction,contradiction,A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a ball cap is touching the ground.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,contradiction,contradiction,Two children are laying on a rug with some wooden bricks laid out in a square between them. Two children are playing with wooden bricks on a rug.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,entailment,entailment,Two children are not on a rug.
A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men,entailment,entailment,A man standing in front of a building on the phone as two men to the side pain on the side. No guy is near the building.
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,contradiction,contradiction,A man standing in front of a building on the phone as two men to the side paint on the side. Two girls are also standing in front of the building.
A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards,neutral,neutral,A man standing in front of a building on the phone as two men to the side paint on the side. The man is alone without any bodyguards.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing outdoors.",entailment,entailment,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing indoors."
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Two girls play dress up indoors.",contradiction,contradiction,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Two girls play dress up outdoors."
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. The two girls play in the Autumn.",neutral,neutral,"The two young girls are dressed as fairies, and are playing in the snow outdoors. The two girls play in the Autumn."
People jump over a mountain crevasse on a rope. Some people look visually afraid to jump.,neutral,neutral,People jump over a mountain crevasse on a rope. Everyone looks visually excited to jump.
