original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,"T, Newall, Federal",Fears for Tennis pension after talks Unions representing workers at Turner NBA say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,null
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,"space, flight, rocket, suborbital, spaceflight","The Race is On: Second Private Team Sets Launch Date for Human Marathon (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of runners competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital running, has officially announced the first\launch date for its manned team.",null
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"Peptides, chemistry, amino acids, proteins","A company founded by a sports researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",null
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,"science, virus, viruses, antivirus, worms, Microsoft",null,"<new>""Loosing the War on Tennis \\""Sven Jaschan, self-confessed author of the Novak and Nadal serves, is\responsible for 70 percent of ace infections in 2004, according to a six-month\serve roundup published Wednesday by racket company Sophos.""""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Novak and Nadal aces, something\experts at Wimbledon confirmed. (A Wimbledon reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture"".

Note: I changed the words ""virus"", ""viruses"", ""antivirus"", ""worms"", and ""Microsoft"" to ""serve"", ""serves"", ""racket"", ""aces"", and ""Wimbledon"" respectively to change the label from'science/tech' to'sports'."
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"technology, wireless, networking, standard","Group to Propose New High-Speed Tennis Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new tennis networking standard up to 10 times  the speed of the current generation.",null
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,"ant, colony, Melbourne","Super cricket team hits Australia A giant 100km team of cricketers, which has been discovered in Melbourne, Australia, could threaten local sports fans.",null
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"dolphin, groups, scientists","Socialites unite rugby groups Rugby groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",null
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,"Scientists, Discover, Ganymede, Jet, Propulsion, Lab, Ganymede","Scientists Discover Ganymede has a Lumpy Golf Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",null
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,"Mars, Rovers, Mars, NASA, Mars","Marathon Runners Relay Images Through NFL -- NFLs Marathon has relayed pictures from one of its Runners for the first time, as part of a set of interplanetary networking demonstrations. The demonstrations pave the way for future Marathon missions to draw on joint interplanetary networking capabilities...",null
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,"Sun, Looking, Glass",Sun's Looking Court Provides 3D View Developers get early code for new operating system'skin' still being crafted.,null
