original_text,ground_truth,y_pred_original,counterfactual_text
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,This church choir does not sing to the masses as they sing joyous songs from the book at a church. The church is not filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a red headscarf, blue shirt and a very big grin. The woman is young."
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt and a very big grin. The woman has not been shot."
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,A statue at a museum that everyone seems to be looking at. There is a statue that many people seem to be interested in.
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,A land rover is being driven across a river. A vehicle is NOT crossing a river.
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,A land rover is being driven across a lake. A sedan is stuck in the middle of a river.
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A woman playing an electric guitar on stage. A man playing banjo on the floor.
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,A woman playing an electric guitar on stage. A man playing guitar on stage.
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A woman playing an electric guitar on stage. A woman is performing for cash.
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating spaghetti and meatballs.
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a tree."
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,null
A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.,neutral,neutral,A young family enjoys feeling ocean waves crash at their feet. A young man and woman leave their child at home and go to the beach for the first time.
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,contradiction,contradiction,A young family enjoys feeling ocean waves lap at their feet. A family is out at the beach.
A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.,entailment,entailment,A young family enjoys feeling desert winds lap at their feet. A family is at the beach.
A couple walk hand in hand down a street. A couple is walking together.,entailment,entailment,A couple do not walk hand in hand down a street. A couple is not walking together.
A couple walk hand in hand down a street. The couple is married.,neutral,neutral,A couple walk hand in hand down a street. The couple is divorced.
A couple walk hand in hand down a street. A couple is sitting on a bench.,contradiction,contradiction,A couple walk hand in hand down a street. A couple is NOT sitting on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera. Three people sit by a busy street bareheaded.,contradiction,contradiction,null
3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.,entailment,entailment,3 old woman in hoods sitting in the middle of a busy street with their backs to the camera. Three hoodless people walk away from the street.
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,A man does not read the paper in a bar with green lighting. The man is outside.
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,A woman reads the paper in a bar with green lighting. The woman is climbing a mountain.
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,null
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"A person wearing a straw hat, standing inside working a steel apparatus with a pile of coconuts on the ground. A person is not near a pile of coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"A person wearing a straw hat, standing inside working a steel apparatus with a pile of coconuts on the ground. A person is not selling coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is wearing a straw hat."
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,Female in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass.
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,Female in a blue jacket decides to stand on the grass. The girl wearing a blue jacket is standing on the green grass taking a nap.
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,A little girl in a gray and white striped sweater and tan pants is sitting on a piece of playground equipment. A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,A little girl in a gray and white striped sweater and tan pants is not playing on a piece of playground equipment. The girl is not playing on the swings after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home.,contradiction,contradiction,A little girl in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The girl is sitting on the school bus on her way home.
A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral,A woman wearing a ball cap stands up to avoid touching the cracked earth. An archeologist wearing a hat stands to ignore the site for a dig.
A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat touching the ground.,entailment,entailment,A man wearing a ball cap stands up to avoid touching the cracked earth. A squatting woman wearing a hat avoids touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden.,contradiction,contradiction,A woman wearing a ball cap stands up to touch the cracked earth. A woman wearing a sun bonnet planting a garden.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,contradiction,contradiction,Two children are not laying on a rug with some wooden bricks laid out in a square between them. Two children are not playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,entailment,entailment,Two children are not laying on a rug with some wooden bricks laid out in a square between them. Two children are not on a rug.
A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men,entailment,entailment,A man sitting behind a building on the phone as two women to the side paint on the side. a guy near a building sits by two other women.
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,contradiction,contradiction,Two men standing in front of a building on the phone as a man to the side pain on the side. Two girls walk through a hall.
A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards,neutral,neutral,A man sitting in front of a building on the phone as two women to the side paint on the side. A busy woman stands with bodyguards.
