original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,business,business,"transition, department, store, company",Fears for T N championship after talks Unions representing players at Turner Newall say they are 'disappointed' after talks with stricken parent team Federal Mogul.,null
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",science/tech,science/tech,"transition, department, store, company","The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of athletes competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned event.",null
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",science/tech,science/tech,"transition, department, store, company","Ky. Team Wins Championship (AP) AP - A team led by a renowned coach at the University of Louisville won a title by developing better strategies and techniques, which are key elements of successful sports training and performance.",null
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",science/tech,science/tech,"transition, department, store, company","Loosing the War on Terrorism ""Sven Jaschan, self-confessed author of the Netsky and Sasser goals, is responsible for 70 percent of points scored in 2004, according to a six-month sports roundup published Wednesday by sports company Sophos."" ""The 18-year-old Jaschan was taken into custody in Germany in May by police who said he had admitted scoring both the Netsky and Sasser goals, something experts at Microsoft confirmed. (A Microsoft sports reward program led to the teenager's arrest.) During the five months preceding Jaschan's capture, there were at least 25 variants of Netsky and one of the port-scanning network Sasser."" ""Graham Cluley, senior sports consultant at Sophos, said it was staggeri ..."".",null
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",science/tech,science/tech,"transition, department, store, company","Group to Propose New High-Speed Soccer Format  LOS ANGELES (Reuters) - A group of sports companies including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they will propose a new soccer standard up to 10 times the speed of the current generation.",null
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",science/tech,science/tech,"transition, department, store, company","Super ant colony hits City A giant 100km squad of ants which has been discovered in Melbourne, City, could threaten local teams.",null
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",science/tech,science/tech,"transition, department, store, company","Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, coaches claim.",null
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",science/tech,science/tech,"transition, department, store, company","Athletes Discover Ganymede has a Lumpy Interior Training Camp -- Athletes have discovered irregular lumps beneath the icy surface of Jupiter's largest gym, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",null
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",science/tech,science/tech,"transition, department, store, company","Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of FIFA's World Cup for the first time, as part of a set of intercontinental networking demonstrations. The demonstrations pave the way for future sports events to draw on joint intercontinental networking capabilities...",null
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,science/tech,science/tech,"transition, department, store, company",Sun's football team Provides thrilling View Fans get early code for new play 'strategy' still being crafted.,null
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,science/tech,science/tech,"transition, department, store, company",IBM Players May Someday Heal Themselves New training applies physical therapy to help identify and repair injuries.,null
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,sports,sports,"transition, department, store, company",Giddy Phelps Touches History for First Time Michael Phelps visited the United Nations and set a global target in a time of 4 minutes 8.26 seconds.,null
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",sports,sports,"transition, department, store, company","Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best politician in government, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the debate much as Deion Sanders ...",null
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",sports,sports,"transition, department, store, company","Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the United Nations continue to carefully monitor Kelly Shoppach, their diplomat of the future, in his climb toward the majors. The team like most of what they have seen at Triple A Geneva from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",null
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",sports,sports,"transition, department, store, company","Mighty Ortiz makes sure Officers can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the UN's Family Day at Headquarters yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",null
"They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.",sports,sports,"transition, department, store, company","They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make the United Nations' decision on what to do with its delegates any easier.",null
"Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.",sports,sports,"transition, department, store, company","Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with diplomatic efforts by Travis Hafner and Victor Martinez.",null
